GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,NAME,B18AA1980,B18AB1980,B18AC1980,B18AD1980,B18AE1980
"G0100010","1980","Alabama","01","Autauga","001","AUTAUGA",24846,7224,97,85,
"G0100030","1980","Alabama","01","Baldwin","003","BALDWIN",65922,12035,432,64,
"G0100050","1980","Alabama","01","Barbour","005","BARBOUR",13661,11003,21,65,
"G0100070","1980","Alabama","01","Bibb","007","BIBB",12040,3675,2,6,
"G0100090","1980","Alabama","01","Blount","009","BLOUNT",35668,661,98,23,
"G0100110","1980","Alabama","01","Bullock","011","BULLOCK",3431,7160,0,5,
"G0100130","1980","Alabama","01","Butler","013","BUTLER",13255,8397,14,8,
"G0100150","1980","Alabama","01","Calhoun","015","CALHOUN",97382,21005,283,541,
"G0100170","1980","Alabama","01","Chambers","017","CHAMBERS",25286,13894,5,6,
"G0100190","1980","Alabama","01","Cherokee","019","CHEROKEE",17168,1550,28,14,
"G0100210","1980","Alabama","01","Chilton","021","CHILTON",26940,3631,0,41,
"G0100230","1980","Alabama","01","Choctaw","023","CHOCTAW",9505,7319,8,7,
"G0100250","1980","Alabama","01","Clarke","025","CLARKE",15764,11827,87,7,
"G0100270","1980","Alabama","01","Clay","027","CLAY",11427,2268,8,0,
"G0100290","1980","Alabama","01","Cleburne","029","CLEBURNE",11918,647,0,18,
"G0100310","1980","Alabama","01","Coffee","031","COFFEE",31657,6532,120,151,
"G0100330","1980","Alabama","01","Colbert","033","COLBERT",45254,9146,63,50,
"G0100350","1980","Alabama","01","Conecuh","035","CONECUH",9332,6534,18,0,
"G0100370","1980","Alabama","01","Coosa","037","COOSA",7420,3950,0,7,
"G0100390","1980","Alabama","01","Covington","039","COVINGTON",31867,4845,22,106,
"G0100410","1980","Alabama","01","Crenshaw","041","CRENSHAW",10399,3693,0,13,
"G0100430","1980","Alabama","01","Cullman","043","CULLMAN",60894,550,103,68,
"G0100450","1980","Alabama","01","Dale","045","DALE",38832,7828,348,485,
"G0100470","1980","Alabama","01","Dallas","047","DALLAS",24399,29488,7,50,
"G0100490","1980","Alabama","01","DeKalb","049","DE KALB",52497,962,120,41,
"G0100510","1980","Alabama","01","Elmore","051","ELMORE",33610,9655,34,65,
"G0100530","1980","Alabama","01","Escambia","053","ESCAMBIA",26051,11376,955,24,
"G0100550","1980","Alabama","01","Etowah","055","ETOWAH",88526,13773,486,146,
"G0100570","1980","Alabama","01","Fayette","057","FAYETTE",16379,2372,0,53,
"G0100590","1980","Alabama","01","Franklin","059","FRANKLIN",26994,1301,30,23,
"G0100610","1980","Alabama","01","Geneva","061","GENEVA",21002,3097,123,20,
"G0100630","1980","Alabama","01","Greene","063","GREENE",2425,8596,0,0,
"G0100650","1980","Alabama","01","Hale","065","HALE",5758,9799,0,25,
"G0100670","1980","Alabama","01","Henry","067","HENRY",9485,5799,0,6,
"G0100690","1980","Alabama","01","Houston","069","HOUSTON",57517,16464,260,331,
"G0100710","1980","Alabama","01","Jackson","071","JACKSON",48985,2090,270,44,
"G0100730","1980","Alabama","01","Jefferson","073","JEFFERSON",444359,223716,762,1934,
"G0100750","1980","Alabama","01","Lamar","075","LAMAR",14435,1997,7,10,
"G0100770","1980","Alabama","01","Lauderdale","077","LAUDERDALE",72271,7747,244,185,
"G0100790","1980","Alabama","01","Lawrence","079","LAWRENCE",25021,5074,59,16,
"G0100810","1980","Alabama","01","Lee","081","LEE",57011,18646,118,397,
"G0100830","1980","Alabama","01","Limestone","083","LIMESTONE",39207,6585,74,132,
"G0100850","1980","Alabama","01","Lowndes","085","LOWNDES",3309,9937,7,0,
"G0100870","1980","Alabama","01","Macon","087","MACON",4079,22579,0,72,
"G0100890","1980","Alabama","01","Madison","089","MADISON",155087,38999,686,1519,
"G0100910","1980","Alabama","01","Marengo","091","MARENGO",11681,13346,0,20,
"G0100930","1980","Alabama","01","Marion","093","MARION",29204,734,29,68,
"G0100950","1980","Alabama","01","Marshall","095","MARSHALL",64428,1013,68,79,
"G0100970","1980","Alabama","01","Mobile","097","MOBILE",246610,114983,1322,1536,
"G0100990","1980","Alabama","01","Monroe","099","MONROE",12779,9742,130,0,
"G0101010","1980","Alabama","01","Montgomery","101","MONTGOMERY",118042,77775,162,759,
"G0101030","1980","Alabama","01","Morgan","103","MORGAN",81198,8725,80,185,
"G0101050","1980","Alabama","01","Perry","105","PERRY",5969,9019,0,17,
"G0101070","1980","Alabama","01","Pickens","107","PICKENS",12456,8978,28,19,
"G0101090","1980","Alabama","01","Pike","109","PIKE",18160,9825,41,21,
"G0101110","1980","Alabama","01","Randolph","111","RANDOLPH",15166,4869,30,10,
"G0101130","1980","Alabama","01","Russell","113","RUSSELL",28504,18656,65,89,
"G0101150","1980","Alabama","01","St Clair","115","ST. CLAIR",36925,4126,86,56,
"G0101170","1980","Alabama","01","Shelby","117","SHELBY",59034,6888,158,203,
"G0101190","1980","Alabama","01","Sumter","119","SUMTER",5120,11711,0,55,
"G0101210","1980","Alabama","01","Talladega","121","TALLADEGA",50974,22745,40,32,
"G0101230","1980","Alabama","01","Tallapoosa","123","TALLAPOOSA",28005,10461,24,155,
"G0101250","1980","Alabama","01","Tuscaloosa","125","TUSCALOOSA",99525,37426,90,346,
"G0101270","1980","Alabama","01","Walker","127","WALKER",63595,4813,135,102,
"G0101290","1980","Alabama","01","Washington","129","WASHINGTON",11315,4726,778,2,
"G0101310","1980","Alabama","01","Wilcox","131","WILCOX",4580,10151,4,20,
"G0101330","1980","Alabama","01","Winston","133","WINSTON",21744,145,35,23,
"G0200100","1980","Alaska","02","Aleutian Islands","010","ALEUTIAN ISLANDS",4887,327,1928,571,
"G0200200","1980","Alaska","02","Anchorage","020","ANCHORAGE",149765,9389,9022,4241,
"G0200500","1980","Alaska","02","Bethel","050","BETHEL",1602,52,9273,50,
"G0200600","1980","Alaska","02","Bristol Bay","060","BRISTOL BAY",656,46,360,7,
"G0200700","1980","Alaska","02","Dillingham","070","DILLINGHAM",1060,0,3523,11,
"G0200900","1980","Alaska","02","Fairbanks North Star","090","FAIRBANKS NORTH STAR",46325,3039,3026,884,
"G0201000","1980","Alaska","02","Haines","100","HAINES",1434,9,214,8,
"G0201100","1980","Alaska","02","Juneau","110","JUNEAU",16699,82,2190,444,
"G0201220","1980","Alaska","02","Kenai Peninsula","122","KENAI PENINSULA",23181,93,1702,238,
"G0201300","1980","Alaska","02","Ketchikan Gateway","130","KETCHIKAN GATEWAY",9576,28,1406,277,
"G0201400","1980","Alaska","02","Kobuk","140","KOBUK",696,5,4120,4,
"G0201500","1980","Alaska","02","Kodiak Island","150","KODIAK ISLAND",7110,89,1884,768,
"G0201700","1980","Alaska","02","Matanuska-Susitna","170","MATANUSKA-SUSITNA",16872,52,752,73,
"G0201800","1980","Alaska","02","Nome","180","NOME",1306,16,5189,18,
"G0201850","1980","Alaska","02","North Slope","185","NORTH SLOPE",916,14,3225,35,
"G0202010","1980","Alaska","02","Prince Of Wales-Outer Ketchikan","201","PRINCE OF WALES-OUTER KETCHIKAN",2070,40,1651,39,
"G0202200","1980","Alaska","02","Sitka","220","SITKA",5836,30,1669,235,
"G0202310","1980","Alaska","02","Skagway-Yakutat-Angoon","231","SKAGWAY-YAKUTAT-ANGOON",1958,0,1462,28,
"G0202400","1980","Alaska","02","Southeast Fairbanks","240","SOUTHEAST FAIRBANKS",4495,293,725,143,
"G0202610","1980","Alaska","02","Valdez-Cordova","261","VALDEZ-CORDOVA",7091,37,1060,124,
"G0202700","1980","Alaska","02","Wade Hampton","270","WADE HAMPTON",240,0,4420,2,
"G0202800","1980","Alaska","02","Wrangell-Petersburg","280","WRANGELL-PETERSBURG",4832,6,1190,91,
"G0202900","1980","Alaska","02","Yukon-Koyukuk","290","YUKON-KOYUKUK",3361,101,4366,23,
"G0400010","1980","Arizona","04","Apache","001","APACHE",11995,279,39042,53,
"G0400030","1980","Arizona","04","Cochise","003","COCHISE",74368,3306,441,1667,
"G0400050","1980","Arizona","04","Coconino","005","COCONINO",49453,1337,20949,459,
"G0400070","1980","Arizona","04","Gila","007","GILA",30298,81,5154,119,
"G0400090","1980","Arizona","04","Graham","009","GRAHAM",17247,550,2730,134,
"G0400110","1980","Arizona","04","Greenlee","011","GREENLEE",9331,14,330,81,
"G0400130","1980","Arizona","04","Maricopa","013","MARICOPA",1320774,47833,23708,15015,
