GISJOIN,YEAR,STATE,STATEA,NAME,B18AA1980,B18AB1980,B18AC1980,B18AD1980,B18AE1980
"G010","1980","Alabama","01","ALABAMA",2873289,996283,9304,10660,
"G020","1980","Alaska","02","ALASKA",311968,13748,64357,8314,
"G040","1980","Arizona","04","ARIZONA",2260288,74159,154390,24562,
"G050","1980","Arkansas","05","ARKANSAS",1889935,373025,12757,7232,
"G060","1980","California","06","CALIFORNIA",18221353,1818660,231702,1312973,
"G080","1980","Colorado","08","COLORADO",2591270,101695,21015,34257,
"G090","1980","Connecticut","09","CONNECTICUT",2811092,216641,4882,21116,
"G100","1980","Delaware","10","DELAWARE",488002,96157,1391,4627,
"G110","1980","District Of Columbia","11","DISTRICT OF COLUMBIA",174705,448370,1014,6883,
"G120","1980","Florida","12","FLORIDA",8184855,1343134,25006,62514,
"G130","1980","Georgia","13","GEORGIA",3949583,1464435,10079,26009,
"G150","1980","Hawaii","15","HAWAII",331925,17687,2976,590659,
"G160","1980","Idaho","16","IDAHO",904045,2711,10523,6721,
"G170","1980","Illinois","17","ILLINOIS",9267607,1674467,19612,172213,
"G180","1980","Indiana","18","INDIANA",5008817,414489,9691,24355,
"G190","1980","Iowa","19","IOWA",2841326,42228,6342,13847,
"G200","1980","Kansas","20","KANSAS",2170046,126356,17960,17539,
"G210","1980","Kentucky","21","KENTUCKY",3380256,259289,4601,11823,
"G220","1980","Louisiana","22","LOUISIANA",2915310,1238472,12932,25123,
"G230","1980","Maine","23","MAINE",1112977,3381,4365,3073,
"G240","1980","Maryland","24","MARYLAND",3166142,957418,9075,67949,
"G250","1980","Massachusetts","25","MASSACHUSETTS",5378403,221029,9198,52615,
"G260","1980","Michigan","26","MICHIGAN",7893278,1197177,44919,62641,
"G270","1980","Minnesota","27","MINNESOTA",3942025,52325,36730,32226,
"G280","1980","Mississippi","28","MISSISSIPPI",1615632,887111,6914,7749,
"G290","1980","Missouri","29","MISSOURI",4348412,513385,14971,24962,
"G300","1980","Montana","30","MONTANA",740901,1738,37700,3097,
"G310","1980","Nebraska","31","NEBRASKA",1492220,47946,9146,8190,
"G320","1980","Nevada","32","NEVADA",703053,51203,14344,15606,
"G330","1980","New Hampshire","33","NEW HAMPSHIRE",910551,4324,1385,3364,
"G340","1980","New Jersey","34","NEW JERSEY",6154833,924909,10200,109383,
"G350","1980","New Mexico","35","NEW MEXICO",990657,23071,106750,7728,
"G360","1980","New York","36","NEW YORK",14033644,2405818,43987,330972,
"G370","1980","North Carolina","37","NORTH CAROLINA",4460570,1319054,65960,23150,
"G380","1980","North Dakota","38","NORTH DAKOTA",626358,2471,19953,2292,
"G390","1980","Ohio","39","OHIO",9607133,1076742,15554,53166,
"G400","1980","Oklahoma","40","OKLAHOMA",2603063,204810,171224,19765,
"G410","1980","Oregon","41","OREGON",2496398,37454,30469,40958,
"G420","1980","Pennsylvania","42","PENNSYLVANIA",10668416,1045318,11132,70514,
"G440","1980","Rhode Island","44","RHODE ISLAND",900408,27361,3204,6617,
"G450","1980","South Carolina","45","SOUTH CAROLINA",2147825,947969,6744,13370,
"G460","1980","South Dakota","46","SOUTH DAKOTA",639840,2152,45572,1917,
"G470","1980","Tennessee","47","TENNESSEE",3837968,724808,7035,15252,
"G480","1980","Texas","48","TEXAS",11303054,1704741,50812,134428,
"G490","1980","Utah","49","UTAH",1383997,9691,20103,20224,
"G500","1980","Vermont","50","VERMONT",507052,1188,1068,1640,
"G510","1980","Virginia","51","VIRGINIA",4236345,1008665,10069,70569,
"G530","1980","Washington","53","WASHINGTON",3790990,105604,63808,111607,
"G540","1980","West Virginia","54","WEST VIRGINIA",1874618,65041,2357,5902,
"G550","1980","Wisconsin","55","WISCONSIN",4446088,183169,30788,22043,
"G560","1980","Wyoming","56","WYOMING",446489,3270,8266,2044,
