GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUB,CTY_SUBA,NAME,B18AA1990,B18AB1990,B18AC1990,B18AD1990,B18AE1990
"G010001090171","1990","Alabama","01","Autauga","001","Autaugaville division","90171","Autaugaville division",1021,1955,4,3,
"G010001090315","1990","Alabama","01","Autauga","001","Billingsley division","90315","Billingsley division",1645,635,1,1,
"G010001092106","1990","Alabama","01","Autauga","001","Marbury division","92106","Marbury division",2824,757,3,6,
"G010001092628","1990","Alabama","01","Autauga","001","Prattville division","92628","Prattville division",21654,3498,63,152,
"G010003090207","1990","Alabama","01","Baldwin","003","Bay Minette division","90207","Bay Minette division",14423,3397,182,56,
"G010003090846","1990","Alabama","01","Baldwin","003","Daphne division","90846","Daphne division",15754,3230,60,91,
"G010003090963","1990","Alabama","01","Baldwin","003","Elberta division","90963","Elberta division",6115,164,26,36,
"G010003091053","1990","Alabama","01","Baldwin","003","Fairhope division","91053","Fairhope division",14247,1956,63,65,
"G010003091152","1990","Alabama","01","Baldwin","003","Foley division","91152","Foley division",18433,2043,91,120,
"G010003092754","1990","Alabama","01","Baldwin","003","Robertsdale division","92754","Robertsdale division",11062,619,109,59,
"G010003093024","1990","Alabama","01","Baldwin","003","Stockton division","93024","Stockton division",2461,1033,68,3,
"G010003093042","1990","Alabama","01","Baldwin","003","Summerdale division","93042","Summerdale division",2070,198,31,15,
"G010005090189","1990","Alabama","01","Barbour","005","Bakerhill division","90189","Bakerhill division",1817,843,6,3,
"G010005090630","1990","Alabama","01","Barbour","005","Clayton division","90630","Clayton division",1028,2076,2,0,
"G010005090648","1990","Alabama","01","Barbour","005","Clio division","90648","Clio division",1825,1338,9,2,
"G010005091017","1990","Alabama","01","Barbour","005","Eufaula division","91017","Eufaula division",8451,5660,24,54,
"G010005091989","1990","Alabama","01","Barbour","005","Louisville division","91989","Louisville division",997,1277,5,0,
"G010007090531","1990","Alabama","01","Bibb","007","Centreville-Brent division","90531","Centreville-Brent division",6955,2571,4,15,
"G010007092601","1990","Alabama","01","Bibb","007","Piper-Coleanor division","92601","Piper-Coleanor division",767,297,0,0,
"G010007093438","1990","Alabama","01","Bibb","007","West Blocton division","93438","West Blocton division",5330,610,21,6,
"G010009090333","1990","Alabama","01","Blount","009","Blountsville division","90333","Blountsville division",5343,0,14,28,
"G010009090414","1990","Alabama","01","Blount","009","Brooksville division","90414","Brooksville division",3721,2,25,6,
"G010009090612","1990","Alabama","01","Blount","009","Clarence division","90612","Clarence division",3936,2,4,33,
"G010009090639","1990","Alabama","01","Blount","009","Cleveland division","90639","Cleveland division",2350,0,12,18,
"G010009091557","1990","Alabama","01","Blount","009","Hayden division","91557","Hayden division",6917,102,31,13,
"G010009091953","1990","Alabama","01","Blount","009","Locust Fork division","91953","Locust Fork division",5894,12,18,8,
"G010009092439","1990","Alabama","01","Blount","009","Oneonta division","92439","Oneonta division",10236,403,29,91,
"G010011091098","1990","Alabama","01","Bullock","011","Fitzpatrick division","91098","Fitzpatrick division",345,626,0,3,
"G010011091701","1990","Alabama","01","Bullock","011","Inverness division","91701","Inverness division",855,933,0,0,
"G010011092133","1990","Alabama","01","Bullock","011","Midway division","92133","Midway division",199,1674,0,0,
"G010011093249","1990","Alabama","01","Bullock","011","Union Springs division","93249","Union Springs division",1637,4753,8,9,
"G010013090540","1990","Alabama","01","Butler","013","Chapman division","90540","Chapman division",1765,282,1,0,
"G010013091170","1990","Alabama","01","Butler","013","Forest Home division","91170","Forest Home division",808,717,2,1,
"G010013091314","1990","Alabama","01","Butler","013","Georgiana-McKenzie division","91314","Georgiana-McKenzie division",2813,2070,8,3,
"G010013091422","1990","Alabama","01","Butler","013","Greenville division","91422","Greenville division",7663,5729,13,17,
"G010015090099","1990","Alabama","01","Calhoun","015","Anniston division","90099","Anniston division",56426,18046,216,986,
"G010015090585","1990","Alabama","01","Calhoun","015","Choccolocco division","90585","Choccolocco division",4500,213,15,12,
"G010015091746","1990","Alabama","01","Calhoun","015","Jacksonville division","91746","Jacksonville division",12974,1987,37,218,
"G010015092430","1990","Alabama","01","Calhoun","015","Ohatchee division","92430","Ohatchee division",3120,239,1,7,
"G010015092556","1990","Alabama","01","Calhoun","015","Piedmont division","92556","Piedmont division",7206,669,12,15,
"G010015093402","1990","Alabama","01","Calhoun","015","Websters Chapel-Alexandria Valley division","93402","Websters Chapel-Alexandria Valley division",8647,424,15,49,
"G010017091107","1990","Alabama","01","Chambers","017","Five Points division","91107","Five Points division",1414,951,5,1,
"G010017091818","1990","Alabama","01","Chambers","017","Lafayette division","91818","Lafayette division",2545,3372,4,2,
"G010017091827","1990","Alabama","01","Chambers","017","Lanett division","91827","Lanett division",8383,3670,6,25,
"G010017091836","1990","Alabama","01","Chambers","017","Langdale division","91836","Langdale division",9944,4121,25,11,
"G010017092169","1990","Alabama","01","Chambers","017","Milltown division","92169","Milltown division",805,345,0,0,
"G010017093393","1990","Alabama","01","Chambers","017","Waverly division","93393","Waverly division",484,762,1,0,
"G010019090513","1990","Alabama","01","Cherokee","019","Cedar Bluff-Gaylesville division","90513","Cedar Bluff-Gaylesville division",4832,356,4,12,
"G010019090522","1990","Alabama","01","Cherokee","019","Centre division","90522","Centre division",6049,504,26,18,
"G010019091854","1990","Alabama","01","Cherokee","019","Leesburg division","91854","Leesburg division",3743,152,14,15,
"G010019092313","1990","Alabama","01","Cherokee","019","Mud Creek division","92313","Mud Creek division",3530,279,7,2,
"G010021090603","1990","Alabama","01","Chilton","021","Clanton division","90603","Clanton division",10065,1635,8,30,
"G010021091710","1990","Alabama","01","Chilton","021","Isabella-Pletcher division","91710","Isabella-Pletcher division",2131,111,3,6,
"G010021091764","1990","Alabama","01","Chilton","021","Jemison division","91764","Jemison division",8794,660,37,13,
"G010021092097","1990","Alabama","01","Chilton","021","Maplesville division","92097","Maplesville division",2077,832,2,1,
"G010021092178","1990","Alabama","01","Chilton","021","Mineral Springs division","92178","Mineral Springs division",2328,1,9,15,
"G010021093285","1990","Alabama","01","Chilton","021","Verbena division","93285","Verbena division",3252,435,4,9,
"G010023090441","1990","Alabama","01","Choctaw","023","Butler division","90441","Butler division",3191,1736,3,8,
"G010023091332","1990","Alabama","01","Choctaw","023","Gilbertown-Toxey division","91332","Gilbertown-Toxey division",3493,723,3,4,
"G010023091908","1990","Alabama","01","Choctaw","023","Lisman division","91908","Lisman division",869,3380,4,4,
"G010023092925","1990","Alabama","01","Choctaw","023","Silas division","92925","Silas division",1360,1238,0,2,
"G010025090675","1990","Alabama","01","Clarke","025","Coffeeville division","90675","Coffeeville division",832,546,0,1,
"G010025091260","1990","Alabama","01","Clarke","025","Fulton division","91260","Fulton division",1471,627,2,3,
"G010025091440","1990","Alabama","01","Clarke","025","Grove Hill division","91440","Grove Hill division",2911,3074,8,11,
"G010025091728","1990","Alabama","01","Clarke","025","Jackson Northwest division","91728","Jackson Northwest division",5316,2934,21,13,
"G010025091737","1990","Alabama","01","Clarke","025","Jackson Southeast division","91737","Jackson Southeast division",824,1997,5,4,
"G010025093132","1990","Alabama","01","Clarke","025","Thomasville division","93132","Thomasville division",4173,2447,9,11,
"G010027090126","1990","Alabama","01","Clay","027","Ashland division","90126","Ashland division",5131,636,9,4,
"G010027091899","1990","Alabama","01","Clay","027","Lineville division","91899","Lineville division",3942,1040,9,13,
