GISJOIN,YEAR,STATE,STATEA,PLACE,PLACEA,NAME,B18AA1990,B18AB1990,B18AC1990,B18AD1990,B18AE1990
"G01000124","1990","Alabama","01","Abbeville city","00124","Abbeville city",2039,1115,6,13,
"G01000460","1990","Alabama","01","Adamsville city","00460","Adamsville city",3493,659,5,4,
"G01000484","1990","Alabama","01","Addison town","00484","Addison town",624,0,1,1,
"G01000676","1990","Alabama","01","Akron town","00676","Akron town",97,371,0,0,
"G01000820","1990","Alabama","01","Alabaster city","00820","Alabaster city",13032,1617,30,53,
"G01000988","1990","Alabama","01","Albertville city","00988","Albertville city",14267,182,33,25,
"G01001132","1990","Alabama","01","Alexander City city","01132","Alexander City city",10684,4184,16,33,
"G01001228","1990","Alabama","01","Aliceville city","01228","Aliceville city",1374,1620,0,15,
"G01001396","1990","Alabama","01","Allgood town","01396","Allgood town",430,0,0,34,
"G01001660","1990","Alabama","01","Altoona town","01660","Altoona town",918,39,2,1,
"G01001708","1990","Alabama","01","Andalusia city","01708","Andalusia city",7090,2119,28,32,
"G01001756","1990","Alabama","01","Anderson town","01756","Anderson town",339,0,0,0,
"G01001852","1990","Alabama","01","Anniston city","01852","Anniston city",14509,11801,49,264,
"G01002116","1990","Alabama","01","Arab city","02116","Arab city",6301,0,9,11,
"G01002260","1990","Alabama","01","Ardmore town","02260","Ardmore town",1071,18,1,0,
"G01002320","1990","Alabama","01","Argo town","02320","Argo town",920,3,7,0,
"G01002428","1990","Alabama","01","Ariton town","02428","Ariton town",554,187,2,0,
"G01002500","1990","Alabama","01","Arley town","02500","Arley town",338,0,0,0,
"G01002836","1990","Alabama","01","Ashford city","02836","Ashford city",1282,628,15,1,
"G01002860","1990","Alabama","01","Ashland town","02860","Ashland town",1526,501,4,3,
"G01002908","1990","Alabama","01","Ashville town","02908","Ashville town",1062,430,0,2,
"G01002956","1990","Alabama","01","Athens city","02956","Athens city",13687,3041,52,121,
"G01003004","1990","Alabama","01","Atmore city","03004","Atmore city",4489,3266,278,13,
"G01003028","1990","Alabama","01","Attalla city","03028","Attalla city",5801,1032,19,7,
